name,bio,sponsers,insta-followers,insta-rank,yt-views,yt-rank,funded,paid,backers
William Miller,"Regular,  Age 23,  Shalimar USA",None.,,,,,$0,$0,0
Wayne Mpda,"Regular,  Age 15,  Johannesburg ZAF",None.,,,,,$0,$0,0
Will Mazzari,Boston USA,"DGK (flow) NIKE SB (flow) RAW New England, Volcom, Stance, Gold Wheels, Eastern Boarder.",,,,,$0,$0,0
Yarael Melenec,"Regular,  Age 26,  Puerte rico USA",None.,,,,,$0,$0,0
Weston Montgomery,"Regular,  Age 26,  Lafayette USA","Rukus, Volcom, Tall Tale Brand.",,,,,$0,$0,0
Vincent Matheron,"Goofy,  Age 19,  Marseille FRA","Red Bull, DC shoes, Electric, Skullcandy, Independent, Bones, Creature, Select, Stance.","4,577","1,078","68,616",641,$0,$0,0
Victor Medina,"Age 25,  Mexico MEX",Tlaloc Life Style.,,,,,$0,$0,0
Wandile Msomi,"Regular,   Johannesburg ZAF","Funisu, Homegrwn, Adidas (flow), Pike Dreamz.",,,,,$0,$0,0
Virgil Maloy,"Age 12,  Cape Coral USA",None.,,,,,$0,$0,0
Vincent Milou,"Regular,  Age 20,  Tarnos FRA","Globe, Willy Workshop, Wasted Paris, Buzz Skate Shop.","9,297",782,"52,635",687,$0,$0,0
Will Meleng,"Goofy,   Kimberley ZAF",None.,,,,,$0,$0,0
Vincent Marciano,"Goofy,  Age 12,  Minneapolis USA",None.,,,,,$0,$0,0
Victor Morfin,"Goofy,  Age 17,  Boise USA",None.,,,,,$0,$0,0
Uriah Mitts,"Goofy,  Age 14,  Kansas City USA",None.,,,,,$0,$0,0
Undre Moody,"Regular,  Age 18,  Houston USA",None.,,,,,$0,$0,0
Ulises Moreno,"Regular,  Age 15,  Phoenx USA",None.,,,,,$0,$0,0
Wacson Mass,"Goofy,  Age 17,  Sao Paulo BRA","Ras Skateshop, FP Insoles, Bones Wheels, Primitive, Grizzly, adidas.","118,399",121,"146,660",507,$0,$0,0
Vaughan Marks,"Regular,  Age 33,  Prahran AUS",parlay skateboards.,,,,,$0,$0,0
Tyreek Morrison,"Regular,  Age 23,  Atlanta USA",SQVAD UP.,"8,195",825,301,"1,654",$0,$0,0
Vaclav Mala,CZE,None.,,,,,$0,$0,0
Tyreak McGregor,"Goofy,  Age 18,  New York City USA",None.,"1,201","2,135",0,0,$0,$0,0
Uriel Iván Márquez,"Regular,  Age 17,  San Luis Potosí MEX",None.,156,"3,520",0,0,$0,$0,0
Tyler McMaster aka Sideshow,"Regular,  Age 26,  Bancroft CAN","Sideshows Wilderness Skatepark, SWS Skateboards, Ty-Dye T-shirts.",,,,,$0,$0,0
Tyler Morrow,West Palm Beach USA,"Vans, Fiend, Primo, The Trip, Deadline Crew, All Day BMX Shop.",,,,,$0,$0,0
Tyler Morley,"Goofy,  Age 17,  Fairfax USA",None.,,,,,$0,$0,0
Tyler McKiness,"Regular,  Age 18,  Cape Coral USA",None.,,,,,$0,$0,0
Vianez Morales,"Goofy,  Age 11,  Luquillo PUR",Saltrags.,"2,496","1,437",89,"1,747",$0,$0,0
Tyler Mcghee,"Regular,  Age 20,  Nashville USA",None.,,,,,$0,$0,0
Tyler Mattingly,"Goofy,  Age 22,  Colorado Springs USA","17 Skateboards, Tree House Productions Clothing.",,,,,$0,$0,0
Tyler Mumma,"Regular,  Age 31,  Dana Point USA","Black Label, Indy, Acid Wheels, Brixton, Jokers.","2,595","1,403",0,0,$0,$0,0
Tyrell Moses,"Regular,  Age 16,  Virginia Beach USA",None.,,,,,$0,$0,0
Tyler McLuen,"Goofy,  Age 16,  Peoria USA",None.,,,,,$0,$0,0
Tyler Milne,"Regular,  Age 13,  Windsor USA",None.,,,,,$0,$0,0
Ura Medina,"Goofy,  Age 19,  Chicago USA",None.,,,,,$0,$0,0
Tshepo Moholwane,"Goofy,  Age 18,  Kimberley ZAF",None.,,,,,$0,$0,0
Tylar Mcdonald,"Age 11,  Adelaide AUS",None.,,,,,$0,$0,0
Trystan Meadows,"Regular,  Age 20,  Denver USA",None.,,,,,$0,$0,0
Tyler Melton,"Goofy,  Age 21,  Salt Lake City USA",None.,,,,,$0,$0,0
Tumi Mofketsi,Johannesburg ZAF,None.,,,,,$0,$0,0
Troy Modise,"Regular,   Johannesburg ZAF",None.,,,,,$0,$0,0
Tristen Moss,"Regular,  Age 26,  Sacramento USA","Blood Wizard, Lurk Hard, Spitfire (flow), Thunder (flow), Lakai (flow), Goodtimes.","
                ","
                ",,,$0,$0,0
Tristan Moss,"Regular,  Age 22,  Winchester USA","Laugh Skateboards, Dimebag Bearings, Pioneer Skateshop.",850,"2,539",0,0,$0,$0,0
Tyler Martin,"Regular,  Age 20,  Lutz USA",Sector 9.,,,,,$0,$0,0
Trevor McCune,"Goofy,  Age 21,  Bakersfield USA","Primitive, eS, Active.","6,791",903,"35,348",773,$0,$0,0
Trip Miller,"Regular,  Age 14,  Tampa USA",None.,410,"3,160",0,0,$0,$0,0
Trevor Melton,"Regular,  Age 20,  Anapolis USA",HUF (flow).,,,,,$0,$0,0
Tumelo Malatji,Johannesburg ZAF,None.,,,,,$0,$0,0
Trevor McClung,"Regular,  Age 26,  Huntington Beach USA","etnies, The Garage Skate Shop, Plan B, Bones, Venture, Andale, Grizzly.","157,928",82,"208,531",450,$0,$0,0
Trent Martin,"Regular,   Phoenix USA",None.,,,,,$0,$0,0
Tristan Mershon,"Goofy,  Age 20,  Tampa USA",None.,"2,440","1,454",0,0,$0,$0,0
Trisha Mendez,"Goofy,  Age 22,  Solana Beach USA",Shoutout to Slappys Board Shop.,"1,604","1,808",0,0,$0,$0,0
Trey Motter,"Regular,  Age 16,  Queen Creek USA",Phoenix Skateboards.,,,,,$0,$0,0
Travis Miller,"Regular,  Age 11,  New Smyrna USA","New Smyrna Beach Skate Park, Boom Skateboards.",859,"2,524",629,"1,554",$0,$0,0
Trae Maldonado,"Goofy,  Age 14,  Houston USA",None.,,,,,$0,$0,0
Tormod Malm,"Goofy,  Age 18,  Trondheim NOR",Boardshop (Flow).,995,"2,362",0,0,$0,$0,0
Trent McClung,"Goofy,  Age 24,  Huntington Beach USA","Primitive, LRG, Bones, Venture, Garage Skate Shop, Andale Bearings, Diamond, Remind Insoles.","130,449",109,"1,310,187",171,$0,$0,0
Tony Marley,"Goofy,  Age 25,  Colorado Springs USA",None.,,,,,$0,$0,0
Tony Miller,"Regular,  Age 19,  Kingston GBR",None.,,,,,$0,$0,0
Tony Massey,USA,VU.,,,,,$0,$0,0
Tristan McLellan,"Goofy,  Age 13,  Durban ZAF","Sicktrixs Skateboards, Boarding South Africa.",783,"2,612",0,0,$0,$0,0
Travis Myers,"Goofy,  Age 26,  Jacksonville USA","Tafoya, Colonial, Official Genius.",,,,,$0,$0,0
Tony Martinez,"Goofy,  Age 23,  West Valley USA",None.,,,,,$0,$0,0
Torres McClain,"Goofy,  Age 20,  Virginia Beach USA",None.,,,,,$0,$0,0
Trevor Morgan,"Goofy,  Age 26,  Oakland USA","Nike SB, 510 Skate Shop, Enjoi (flow), OJ Wheels.",,,,,$0,$0,0
Tony Mendoza,"Goofy,  Age 20,  Oklahoma City USA",None.,,,,,$0,$0,0
Tony Mathers,"Regular,  Age 22,  Dallas USA",None.,,,,,$0,$0,0
Tomik Marek,CZE,None.,,,,,$0,$0,0
Tony Magaw,"Regular,  Age 17,  Minomi Falls USA",None.,,,,,$0,$0,0
Tom McKessy,"Goofy,   Tampa USA",None.,,,,,$0,$0,0
Tony Manfre,"Goofy,  Age 36,  Forestville USA","WESC, Nike SB, Independent, Bones Bearings, Atlas, OJ Wheels, GX1000.","2,538","1,420","544,760",301,$110,$0,5
Tommy McNeal,"Regular,  Age 26,  Buffalo USA",None.,,,,,$0,$0,0
Tom Mok,"Regular,  Age 26,  Calgary CAN","Element, West 49.",,,,,$0,$0,0
Tommy McManus,"Regular,  Age 23,  Columbia USA",Bluetile Skateshop.,655,"2,806","5,344","1,224",$0,$0,0
Trent McQueen,"Regular,  Age 27,  Arvada USA",None.,,,,,$0,$0,0
Tokollo Masilo,"Age 18,  Soweto ZAF",None.,,,,,$0,$0,0
Toby McIlwaine,"Regular,  Age 8,  Sydney AUS","POC Australia, East End Skate and Surf, Rhythm Riders, Line Skis, Resident Kid.",686,"2,756",95,"1,742",$0,$0,0
Tomas Mortas,"Goofy,  Age 23,  Miami USA",None.,,,,,$0,$0,0
Tony Murcia,"Goofy,  Age 17,  Bradenton USA",None.,,,,,$0,$0,0
TJ Moran,"Regular,  Age 30,  White Bear Lake USA","Cal Surf, Converse.",,,,,$0,$0,0
Tito Munoz,"Regular,  Age 17,  Kansas City USA",None.,,,,,$0,$0,0
Tommy Medley,"Regular,  Age 24,  roanoke USA",None.,,,,,$0,$0,0
Tim Marler,"Regular,  Age 20,  Seattle USA",None.,,,,,$0,$0,0
Tim McDivitt,"Regular,  Age 20,  Baton Rouge USA",None.,,,,,$0,$0,0
Tim McGee,"Regular,  Age 23,  Orlando USA",None.,289,"3,339",0,0,$0,$0,0
Tim Moddemann,"Regular,  Age 17,  Bad Honnef USA",None.,,,,,$0,$0,0
Ti Crane Mackenzie,"Goofy,  Age 9,  Melbourne AUS",None.,,,,,$0,$0,0
Thomas Meinel,"Age 31,  Plauen DEU","Mischief Skateboards, Erdnussberg Wheels, Skatebox Plauen, Beyond Clothing.",,,,,$0,$0,0
Thomas Mulvey,"Regular,  Age 14,  Boston USA",None.,,,,,$0,$0,0
TJ Morrison,"Regular,  Age 23,  Atlanta USA",None.,,,,,$0,$0,0
Thomas Michel,USA,None.,,,,,$0,$0,0
Tim McCall,"Regular,  Age 19,  Sacramento USA",None.,,,,,$0,$0,0
Thiago Monteiro,"Regular,  Age 21,  Cabreuva BRA",None.,,,,,$0,$0,0
thariq makuni,"Age 19,  durban ZAF",None.,,,,,$0,$0,0
Thomas Martinez,"Goofy,  Age 17,  Houston USA",None.,,,,,$0,$0,0
Thomas Madsen,"Regular,  Age 29,  Copenhagen DNK",Sidewalk Skateshop.,,,,,$0,$0,0
Thando Mwelase,Johannesburg ZAF,None.,,,,,$0,$0,0
Titus Massinello,"Goofy,  Age 19,  Pompano Beach USA","Lake Skateboards, BC Surf and Sport, RVCA, Nixon, Von Zipper, Ramp 48, Circus Bowl, Padless.","
                ",,,,$0,$0,0
thando Mkhize,"Age 18,  durban ZAF",None.,,,,,$0,$0,0
Thai Martinez,"Goofy,  Age 17,  Houston USA",None.,,,,,$0,$0,0
Tiago Monteiro,PRT,None.,,,,,$0,$0,0
Thabiso Mchunu,"Age 18,  Durban ZAF",None.,,,,,$0,$0,0
Tee Morris,"Regular,  Age 27,  New York City USA","NY State of Mind, Trophy Grip.","1,392","1,960",0,0,$0,$0,0
Timmothy McCall,"Regular,  Age 19,  Sacramento USA",None.,,,,,$0,$0,0
Thomas Moore,"Regular,  Age 25,  Chula Vista USA",None.,,,,,$0,$0,0
Taylor McClung,"Goofy,  Age 28,  Huntington Beach USA","Mystery, DC Shoes, AYC, Theeve, Bones, Andale, Diamond, Grizzly, Garage Skateshop.",446,"3,104","144,214",509,$0,$0,0
Terrence Moore,"Goofy,  Age 18,  Tucson USA",None.,,,,,$0,$0,0
Taylor Mineer,"Regular,  Age 26,  N. Salt Lake USA",None.,,,,,$0,$0,0
Teagan Meza,"Regular,  Age 5,  Torrance USA",Pink Helmet Posse.,"12,759",643,0,0,$0,$0,0
Tavian Malave,"Goofy,  Age 19,  Salt Lake City USA",None.,,,,,$0,$0,0
Tate Malpass,"Regular,  Age 24,  Houston USA","Habitat, HUF, Independent, Southside Skatepark.","
                ",,,,$0,$0,0
Terre Moore,"Goofy,  Age 18,  Tucson USA",None.,,,,,$0,$0,0
Tariq Mcfarlane,"Age 20,  Atlanta USA",None.,,,,,$0,$0,0
Tanner Marvel,"Regular,  Age 23,  San Diego USA",TWS.,,,,,$0,$0,0
Taniah Meyers,"Regular,  Age 17,  Coolum Beach AUS","Super Sports, TSG, East Coast Skateboard Co..","1,290","2,050",0,0,$0,$0,0
Taylor McCloskey,"Regular,  Age 26,  Phoenix USA",The Conquer Project & Fresh Clothing and Accessories.,,,,,$0,$0,0
Tanner McKee,"Goofy,  Age 15,  Las Vegas USA",None.,,,,,$0,$0,0
Svetlana Marinkovic,"Regular,  Age 25,  Phoenix USA",None.,,,,,$0,$0,0
Stu Miller,"Goofy,  Age 27,  Reading USA","Holistic, Politic, Strands.",,,,,$0,$0,0
Stormy Morales,"Regular,  Age 16,  Glendale USA",None.,,,,,$0,$0,0
Taylor Miner,"Regular,  Age 26,  Salt Lake City USA",None.,,,,,$0,$0,0
Tema Mokulano,"Age 8,  Pretoria ZAF",None.,,,,,$0,$0,0
Sy Munden,"Goofy,  Age 21,  Phoenix USA",None.,,,,,$0,$0,0
Taylor McCullough,USA,None.,,,,,$0,$0,0
Steven Moreno,"Regular,  Age 31,  San Marcos USA",5-0.,,,,,$0,$0,0
Thariq Makuyi,"Regular,  Age 19,  Durban ZAF",None.,,,,,$0,$0,0
Stephen Martinez,"Regular,  Age 18,  Phoenix USA",None.,,,,,$0,$0,0
Steven McKaig,"Regular,  Age 20,  Flagler Beach USA","Spy Sunglasses, Sector 9, Stance Socks, Flomotion, Bones (flow), Brimskins, Gullwing Trucks, Pit Surf & Skate Shop, 187 Pads.","5,262","1,018",99,"1,739",$235,$0,7
Stephen Molding,"Regular,  Age 24,  Santa Cruz USA",None.,,,,,$0,$0,0
Steve McIver,AUS,None.,,,,,$0,$0,0
Stephen Mathers,"Goofy,  Age 20,  Daytona USA",None.,,,,,$0,$0,0
Stephen Mullen,"Regular,  Age 26,  Virginia Beach USA",None.,,,,,$0,$0,0
Steve Miller,"Regular,  Age 30,  Philly USA",Zumiez.,,,,,$0,$0,0
Spencer Milne,"Regular,  Age 13,  Windsor USA",None.,,,,,$0,$0,0
Spanish Mike,"Regular,  Age 27,  Long Island USA",Primitive and the homies..,,,,,$0,$0,0
Smanga Madlala,ZAF,None.,,,,,$0,$0,0
Stephan Martinez,USA,None.,,,,,$0,$0,0
Steve McCarty,"Regular,  Age 42,  Glendale USA",None.,,,,,$0,$0,0
Spencer McMahan,"Goofy,  Age 17,  Knoxville USA",None.,,,,,$0,$0,0
shuan magudu,"Age 20,  durban ZAF",None.,,,,,$0,$0,0
Solomon Mosley,"Goofy,  Age 30,  Atlanta USA","Oakley, Theeve Trucks, Surf Ride, ERGO, SkullCandy.",,,,,$0,$0,0
Siyabonga Madondo,"Goofy,  Age 13,  Pretoria ZAF",None.,638,"2,834",0,0,$0,$0,0
Shiloh Murrell,Panama City USA,None.,,,,,$0,$0,0
Skyler Morgan,"Regular,  Age 19,  Boise USA",None.,,,,,$0,$0,0
Shelby Meyer,"Age 21,  Naples USA",None.,,,,,$0,$0,0
Steve Murphy,Gold Coast AUS,None.,,,,,$0,$0,0
Shim Medrano,"Goofy,  Age 24,  Austin USA",Cabbage Crew.,,,,,$0,$0,0
Shiloh Martin,"Goofy,  Age 12,  Phoenix USA",None.,,,,,$0,$0,0
Steffan Mussa,"Goofy,  Age 22,  Lodi USA","Mainland, Kinetic.",,,,,$0,$0,0
Shaw Meighan,"Goofy,  Age 22,  Hawthorne USA",None.,,,,,$0,$0,0
Shaun McKay,"Goofy,  Age 25,  Long Beach USA",Ride Forever Skateshop.,,,,,$0,$0,0
Shane Manderson,"Regular,  Age 22,  Buffalo USA",None.,,,,,$0,$0,0
Shawn Manningham,"Goofy,  Age 18,  Valley Center USA",None.,,,,,$0,$0,0
Shane Mcgrane,"Regular,  Age 28,  New York USA",None.,"7,628",851,0,0,$0,$0,0
Shamus McDonough,"Goofy,  Age 22,  Philly USA","Black Diamond, Hungry Hardware.",,,,,$0,$0,0
Shawn Matthews,"Regular,  Age 26,  Buffalo USA",None.,,,,,$0,$0,0
Shaye Mcinnis,"Regular,  Age 14,  Carlsbad USA",None.,,,,,$0,$0,0
Seth Mclain,"Regular,   Mt. Gilaid USA",None.,,,,,$0,$0,0
Serge Murphy,"Regular,  Age 27,  Boston USA","Eastern Boarder, Bones, Corner Store Skateboards.",,,,,$0,$0,0
Sebastian Mentzky,"Age 27,  Celle DEU",None.,,,,,$0,$0,0
Shane Marriott,USA,Oneway.,,,,,$0,$0,0
Shane Maree,"Age 16,  Johannesburg ZAF",None.,,,,,$0,$0,0
Sean Imposter Malto,"Goofy,  Age 16,  Phoenix USA",None.,,,,,$0,$0,0
Sean Melo,"Goofy,  Age 33,  Oshawa CAN",None.,,,,,$0,$0,0
Sean Markey,"Goofy,  Age 15,  ABQ USA",None.,,,,,$0,$0,0
Shawn Mascher,"Regular,  Age 24,  Melbourne USA",The Park at Melbourne.,,,,,$0,$0,0
Sean Macalister,Calgary CAN,None.,,,,,$0,$0,0
Seth Moore,"Goofy,  Age 11,  Crib Point AUS",None.,234,"3,423",0,0,$0,$0,0
Sean McMahon,"Regular,  Age 24,  Grand Rapids USA","Premier, adidas, Waters and Army.",,,,,$0,$0,0
Sebastien Mouron,USA,None.,,,,,$0,$0,0
Sean McCaffery,"Regular,  Age 13,  Chicago USA",None.,,,,,$0,$0,0
Sean Maldonato,"Goofy,  Age 18,  Haskell USA","Underground Skate Shop, Mustard Skateboards.",578,"2,917",0,0,$0,$0,0
Sean McNulty,"Regular,  Age 30,  Clarkston USA","Autobahn, Vans (flow), Arcade, Andale Bearings.",,,,,$0,$0,0
Sean Pablo Murphy,"Regular,  Age 19,  Los Angeles USA","Supreme, Fucking Awesome, Converse.","117,055",124,"842,693",233,$0,$0,0
Sean Mitchell,"Goofy,  Age 45,  Tampa USA",Skateaid.,,,,,$0,$0,0
Scotty Mcdade,"Regular,  Age 29,  San Francisco USA","Effigy, Fairman's, Deluxe (flow).",,,,,$0,$0,0
Schaeffer Mclean,"Goofy,  Age 13,   GBR",None.,"4,344","1,109","18,364",929,$0,$0,0
Sazi Masande,JHB ZAF,None.,,,,,$0,$0,0
Saul Martinez,"Goofy,  Age 20,  Los Angeles USA",Carrera Arts Skate Shop.,,,,,$0,$0,0
Sarah Meurle,"Goofy,  Age 27,  Malmö SWE","Nike SB, Poetic Collective, Streetlab, Stance, Rockstar Bearings.","7,939",838,0,0,$0,$0,0
Sanele Mkhonza,"Age 11,  Johannesburg ZAF",None.,,,,,$0,$0,0
Sandro Moral,"Goofy,  Age 23,  Mar del Plata ARG","Volcom, Dcshoes, Skullcandy, Woodoo S.M.",,,,,$0,$0,0
Sandile Mukhoba,"Age 15,  Johannesburg ZAF",None.,,,,,$0,$0,0
Sandile Makhoba,"Goofy,  Age 16,   ZAF",One love skate ecpo.,672,"2,772",0,0,$0,$0,0
Scott Mckenzie,AUS,None.,,,,,$0,$0,0
Samuel Mijangos,"Age 18,  Guadalajara MEX","Hey Dog, Yoyo, Zenit, Official.",,,,,$0,$0,0
Sammy Montano,"Goofy,   Lomita USA","Small Wheels, Liberty Boardshop, Habitat, Dema, CCS.","9,874",759,"155,820",491,$0,$0,0
Sasha Marcel,Sarasota USA,None.,,,,,$0,$0,0
